pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,First_Work,year,Resign,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,insurance,work_timeB,주당근로일,주당근로시간,직장에서의복리후생제공여부,보험가입여부,직장만족도,주당근로시간_binary
100166,1,2,8,2,22.5,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,5,6,5,5,3,3,1,3,1,1,1,2,3.2,1,3,3,5,5,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-03-01,2018-10-01,,7,7,0,0,3,3,3,5,5,1,1,1,1,1,1,1,5,6,1,3,1,1,1,2.093023256,2,1,1,2,2,1,1,3,3,2,3,3,1,1,0,5,6,제공한다,가입했다,그렇다,40시간이하
100191,1,4,7,2,26.91666667,,,,,,,,,,,,,,,,,,,,,6,1,2,2,2,2,2,2,5,40,3,3,3,4,2,2,2,2,2,3,4.3,2,4,4,6,6,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2017-11-01,2018-05-01,,6,6,0,0,3,4,6,3,3,1,2,2,2,2,2,2,5,40,2,2,2,2,2,3,3,1,2,2,3,1,2,3,3,2,2,2,0,0,0,5,40,제공하지않는다,가입하지않음,보통이다,40시간이하
100212,1,2,8,2,24.66666667,,,,,,,,,,,,,,,,,,,,,-1,3,2,2,3,1,2,2,6,40,3,3,1,1,3,3,3,3,3,2,3.1,1,3,4,4,4,1,2,2019,1,2013-03-01,2017-08-31,2019-09-01,,2018-01-01,2018-08-01,,7,7,0,0,1,1,-1,3,3,3,2,2,3,1,2,2,6,40,3,3,3,3,3,2.093023256,2,1,1,1,1,1,2,2,2,,2,2,0,0,0,6,40,제공하지않는다,가입하지않음,보통이다,40시간이하
100221,1,2,8,2,25.25,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,5,25,3,3,1,3,2,2,2,2,2,3,3,1,4,5,5,5,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2018-07-01,2018-11-01,,4,4,0,0,1,3,1,3,3,2,2,2,1,2,2,2,5,25,2,2,2,2,2,3,3,1,1,1,2,1,3,3,3,2,2,2,0,0,0,5,25,제공하지않는다,가입하지않음,보통이다,40시간이하
100232,1,3,11,1,25.25,2,9,1,1,1,1,2,1,1,5,32,3,3,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,4.3,1,4,6,6,6,1,1,2019,0,2014-03-01,2018-02-28,2019-09-01,2017-07-01,,,26,,26,1,1,2,2,9,3,3,1,1,1,1,2,1,1,5,32,1,2,1,1,1,3,3,1,2,1,1,1,3,3,3,1,2,2,0,1,0,5,32,제공하지않는다,가입했다,보통이다,40시간이하
100278,1,2,8,2,22.66666667,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,5,40,4,5,4,4,1,3,1,1,1,3,2.9,1,3,6,7,5,1,2,2019,1,2015-03-01,2018-02-28,2019-09-01,,2018-10-01,2018-11-01,,1,1,0,0,4,4,-1,5,4,3,3,3,3,3,3,3,5,40,1,3,1,1,1,3,2,1,1,3,3,1,3,3,3,,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
100296,1,4,15,2,23.33333333,,,,,,,,,,,,,,,,,,,,,-1,1,1,3,1,2,1,3,5,40,4,4,1,2,1,3,1,1,1,3,3,1,4,7,7,6,1,2,2019,1,2015-03-01,2018-02-28,2019-09-01,,2018-05-01,2019-05-01,,12,12,1,0,1,2,-1,4,4,1,1,3,1,2,1,3,5,40,1,3,1,1,1,3,3,1,2,1,1,1,3,3,3,,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
100412,2,2,8,1,26.33333333,2,-1,1,1,2,2,2,2,2,5,40,3,3,3,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.9,1,3,4,4,4,1,1,2019,0,2012-03-01,2018-02-28,2019-09-01,2017-07-01,,,26,,26,1,1,3,3,-1,3,3,1,1,2,2,2,2,2,5,40,1,2,1,1,1,3,2,1,1,2,2,1,2,2,2,,2,2,0,1,0,5,40,제공하지않는다,가입했다,보통이다,40시간이하
100486,2,2,8,2,23.75,,,,,,,,,,,,,,,,,,,,,-1,1,1,3,1,1,3,1,5,40,4,4,4,4,1,3,1,1,1,3,3.4,2,4,4,5,5,1,2,2019,1,2015-03-01,2018-02-28,2019-09-01,,2018-03-01,2019-03-01,,12,12,1,0,4,4,-1,4,4,1,1,3,1,1,3,1,5,40,1,3,1,1,1,3,3,1,1,3,3,1,2,3,3,,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
100710,2,1,1,2,22.16666667,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,4,35,3,3,1,2,3,3,3,3,3,3,3.4,2,3,3,4,4,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-04-01,2019-01-01,,9,9,0,0,1,2,-1,3,3,3,3,3,3,3,3,3,4,35,3,3,3,3,3,3,2,1,1,1,1,1,1,2,2,,2,2,0,0,0,4,35,제공하지않는다,가입하지않음,보통이다,40시간이하
100717,2,1,1,2,21.91666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,2,2,1,1,1,5,40,4,3,3,5,1,3,1,1,1,2,3,1,4,7,7,7,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2017-12-01,2019-03-01,,15,15,1,0,3,5,-1,3,4,1,1,2,2,1,1,1,5,40,1,3,1,1,1,2.093023256,3,1,1,2,3,1,3,3,3,,2,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
100763,2,2,8,1,24.66666667,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,5,40,3,3,2,2,2,2,2,2,2,3,3.8,2,5,6,6,6,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-03-01,2019-03-01,,12,12,1,0,2,2,3,3,3,1,1,1,1,1,1,1,5,40,2,2,2,2,2,3,3,1,1,1,1,1,3,3,3,2,2,2,1,0,0,5,40,제공한다,가입하지않음,보통이다,40시간이하
100810,2,4,3,1,24.58333333,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,6,48,5,4,1,4,2,2,2,2,2,3,4,1,5,6,6,6,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-02-01,2019-02-01,,12,12,1,0,1,4,1,4,5,2,2,2,2,2,2,2,6,48,2,2,2,2,2,3,3,1,2,1,3,1,3,3,3,2,3,3,0,0,1,6,48,제공하지않는다,가입하지않음,그렇다,40시간초과
100875,2,1,1,2,23.91666667,2,1,1,1,1,2,1,2,1,5,40,4,3,2,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,1,3.5,1,4,6,6,6,1,1,2019,0,2016-03-01,2018-02-28,2019-09-01,2017-07-01,,,26,,26,1,1,2,2,1,3,4,1,1,1,2,1,2,1,5,40,1,3,1,1,1,1.125,3,1,1,1,1,1,3,3,3,2,2,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
100975,2,2,8,2,23,1,9,1,1,1,3,1,3,1,4,18,3,3,3,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.5,1,5,5,5,5,1,1,2019,0,2015-03-01,2017-08-31,2019-09-01,2017-09-01,,,24,,24,1,1,3,2,9,3,3,1,1,1,3,1,3,1,4,18,1,3,1,1,1,3,3,1,1,2,1,1,3,3,3,1,2,2,0,1,0,4,18,제공하지않는다,가입했다,보통이다,40시간이하
101082,2,4,2,2,21.91666667,,,,,,,,,,,,,,,,,,,,,9,3,2,2,1,1,3,2,1,16,3,3,1,1,1,3,1,1,1,2,4.1,2,3,5,5,5,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-03-01,2018-08-01,,5,5,0,0,1,1,9,3,3,3,2,2,1,1,3,2,1,16,1,3,1,1,1,2.093023256,2,1,2,1,1,1,3,3,3,1,2,2,0,1,0,1,16,제공하지않는다,가입했다,보통이다,40시간이하
101202,2,2,8,1,26.58333333,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,5,40,4,4,4,4,1,2,1,1,2,1,3.7,2,5,6,7,6,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-04-01,2018-06-01,,2,2,0,0,4,4,1,4,4,2,2,2,2,2,2,2,5,40,1,2,1,1,2,1.125,3,1,1,3,3,1,3,3,3,2,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
101500,3,4,15,2,22.41666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,3,3,1,3,3,5,40,4,4,3,2,1,3,3,1,1,1,3.6,2,3,4,4,4,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-03-01,2019-02-01,,11,11,0,0,3,2,-1,4,4,1,1,3,3,1,3,3,5,40,1,3,3,1,1,1.125,2,1,2,2,1,1,2,2,2,,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
101507,3,4,14,2,22.58333333,,,,,,,,,,,,,,,,,,,,,2,1,1,3,1,1,1,3,5,40,2,2,5,5,1,3,1,1,1,3,4.2,1,3,5,5,5,1,2,2019,1,2015-03-01,2018-02-28,2019-09-01,,2018-03-01,2019-03-01,,12,12,1,0,5,5,2,2,2,1,1,3,1,1,1,3,5,40,1,3,1,1,1,3,2,1,2,3,3,1,3,3,3,2,1,1,0,1,0,5,40,제공하지않는다,가입했다,그렇지않다,40시간이하
101521,3,4,3,2,24.16666667,,,,,,,,,,,,,,,,,,,,,3,1,2,3,2,1,2,3,5,45,1,3,3,4,1,3,1,1,3,3,3.7,1,2,7,7,7,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-02-01,2018-07-01,,5,5,0,0,3,4,3,3,1,1,2,3,2,1,2,3,5,45,1,3,1,1,3,3,1,1,2,2,3,1,3,3,3,2,2,1,0,0,1,5,45,제공하지않는다,가입하지않음,그렇지않다,40시간초과
101569,3,5,12,2,23,2,5,1,1,1,1,1,2,1,5,40,4,4,5,4,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,1,3.2,2,5,6,6,6,1,1,2019,0,2015-03-01,2018-02-28,2019-09-01,2017-03-01,,,30,,30,1,1,5,4,5,4,4,1,1,1,1,1,2,1,5,40,1,2,1,3,3,1.125,3,1,2,3,3,1,3,3,3,2,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
101660,4,2,8,1,25.91666667,,,,,,,,,,,,,,,,,,,,,-1,3,1,3,2,1,3,3,5,45,3,3,3,4,1,3,1,1,1,3,3.8,1,3,7,7,7,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2017-07-01,2018-06-01,,11,11,0,0,3,4,-1,3,3,3,1,3,2,1,3,3,5,45,1,3,1,1,1,3,2,1,1,2,3,2,3,3,3,,2,2,0,1,1,5,45,제공하지않는다,가입했다,보통이다,40시간초과
101693,4,2,5,2,23.16666667,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,2,18,4,4,2,3,2,2,2,2,2,3,4,1,3,4,4,4,1,2,2019,1,2015-03-01,2018-02-28,2019-09-01,,2019-07-01,2019-08-01,,1,1,0,0,2,3,-1,4,4,3,3,3,3,3,3,3,2,18,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,,3,3,0,0,0,2,18,제공하지않는다,가입하지않음,그렇다,40시간이하
101694,4,2,5,2,23.83333333,,,,,,,,,,,,,,,,,,,,,-1,2,3,3,2,3,3,3,5,45,1,3,3,3,2,2,2,2,2,3,3,1,3,4,4,4,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-07-01,2018-08-01,,1,1,0,0,3,3,-1,3,1,2,3,3,2,3,3,3,5,45,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,,2,1,0,0,1,5,45,제공하지않는다,가입하지않음,그렇지않다,40시간초과
101733,4,2,9,1,25.08333333,,,,,,,,,,,,,,,,,,,,,-1,2,2,2,1,2,1,2,2,16,4,4,1,1,3,3,3,3,3,3,3.8,2,4,7,7,7,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2017-11-01,2019-08-01,,21,21,1,0,1,1,-1,4,4,2,2,2,1,2,1,2,2,16,3,3,3,3,3,3,3,1,1,1,1,2,3,3,3,,3,3,0,0,0,2,16,제공하지않는다,가입하지않음,그렇다,40시간이하
101750,4,2,8,2,22.75,2,3,1,1,3,1,1,1,1,5,40,4,4,3,5,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,4.3,1,2,3,3,3,1,1,2019,0,2015-03-01,2018-02-28,2019-09-01,2017-08-01,,,25,,25,1,1,3,5,3,4,4,1,1,3,1,1,1,1,5,40,1,2,1,1,1,3,1,1,1,2,3,2,1,1,1,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
101818,4,1,1,1,25.66666667,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,5,35,4,4,1,2,2,2,2,2,2,3,3.9,1,5,5,5,5,1,2,2019,1,2012-03-01,2018-02-28,2019-09-01,,2018-07-01,2018-10-01,,3,3,0,0,1,2,1,4,4,2,2,2,2,2,2,2,5,35,2,2,2,2,2,3,3,1,1,1,1,2,3,3,3,2,3,3,0,0,0,5,35,제공하지않는다,가입하지않음,그렇다,40시간이하
101878,4,3,4,1,24.66666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,5,40,2,2,2,2,1,2,1,1,1,3,3.2,2,3,4,4,4,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-06-01,2019-07-01,,13,13,1,0,2,2,-1,2,2,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,2,1,2,1,1,2,2,2,2,,1,1,1,1,0,5,40,제공한다,가입했다,그렇지않다,40시간이하
101900,4,5,13,1,24.66666667,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,5,22,3,4,1,1,2,2,3,3,3,3,3.7,1,5,3,4,5,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2018-10-01,2019-05-01,,7,7,0,0,1,1,2,4,3,2,2,2,1,2,2,2,5,22,2,2,3,3,3,3,3,1,2,1,1,2,1,2,3,2,3,2,0,0,0,5,22,제공하지않는다,가입하지않음,보통이다,40시간이하
101918,4,2,5,1,24.5,,,,,,,,,,,,,,,,,,,,,9,1,3,3,3,3,3,3,5,40,3,4,1,2,3,3,1,1,1,3,3.6,1,4,4,4,4,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-08-01,2018-09-01,,1,1,0,0,1,2,9,4,3,1,3,3,3,3,3,3,5,40,3,3,1,1,1,3,3,1,1,1,1,2,2,2,2,1,3,2,0,0,0,5,40,제공하지않는다,가입하지않음,보통이다,40시간이하
101934,4,4,14,2,22.16666667,2,9,1,1,1,1,1,2,1,5,55,5,4,5,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,3,4.3,2,4,6,6,6,1,1,2019,0,2016-03-01,2018-02-28,2019-09-01,2017-09-01,,,24,,24,1,1,5,3,9,4,5,1,1,1,1,1,2,1,5,55,3,3,3,3,3,3,3,1,2,3,2,2,3,3,3,1,3,3,0,0,1,5,55,제공하지않는다,가입하지않음,그렇다,40시간초과
101965,4,4,15,2,22.25,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,6,48,3,3,2,2,2,2,2,2,2,1,3.7,2,4,5,6,5,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-04-01,2018-08-01,,4,4,0,0,2,2,1,3,3,2,2,2,2,2,2,2,6,48,2,2,2,2,2,1.125,3,1,2,1,1,2,3,3,3,2,2,2,0,0,1,6,48,제공하지않는다,가입하지않음,보통이다,40시간초과
101978,4,4,2,1,24.58333333,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,1,3,3,5,45,4,4,2,3,2,2,2,1,2,3,4.2,1,4,5,5,5,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2018-02-01,2019-06-01,,16,16,1,0,2,3,-1,4,4,3,3,3,3,1,3,3,5,45,2,2,2,1,2,3,3,1,2,1,2,2,3,3,3,,3,3,0,0,1,5,45,제공하지않는다,가입하지않음,그렇다,40시간초과
101993,4,1,1,1,21.75,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,6,48,3,3,1,2,1,2,1,1,1,3,4.2,1,2,4,6,6,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-10-01,2018-12-01,,2,2,0,0,1,2,-1,3,3,3,3,3,3,3,3,3,6,48,1,2,1,1,1,3,1,1,1,1,1,2,2,3,3,,2,2,0,1,1,6,48,제공하지않는다,가입했다,보통이다,40시간초과
102014,4,2,8,1,24.58333333,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,1,1,3,3,5,40,3,3,4,4,1,3,1,1,1,1,3.5,2,5,5,5,5,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2018-02-01,2019-04-01,,14,14,1,0,4,4,-1,3,3,1,3,3,1,1,3,3,5,40,1,3,1,1,1,1.125,3,1,1,3,3,2,3,3,3,,2,2,0,1,0,5,40,제공하지않는다,가입했다,보통이다,40시간이하
102065,4,3,10,1,24.5,2,8,1,1,3,1,1,1,3,5,40,4,4,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.3,2,5,6,7,6,1,1,2019,0,2014-03-01,2018-02-28,2019-09-01,2017-09-01,,,24,,24,1,1,3,4,8,4,4,1,1,3,1,1,1,3,5,40,1,2,1,1,1,3,3,1,2,2,3,2,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102070,4,4,15,1,29.08333333,2,5,1,1,1,1,1,1,1,5,40,3,3,3,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.5,2,3,6,6,5,2,1,2019,0,2015-03-01,2018-02-28,2019-09-01,2017-08-01,,,25,,25,1,1,3,2,5,3,3,1,1,1,1,1,1,1,5,40,1,3,1,1,1,3,2,2,2,2,1,2,3,3,3,2,2,2,1,1,0,5,40,제공한다,가입했다,보통이다,40시간이하
102099,4,4,14,1,25.33333333,2,1,1,1,1,1,1,3,1,5,40,5,5,4,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,1,3,2,3,5,5,5,1,1,2019,0,2013-03-01,2018-02-28,2019-09-01,2016-12-01,,,33,,33,1,1,4,3,1,5,5,1,1,1,1,1,3,1,5,40,1,2,1,1,1,1.125,2,1,2,3,2,2,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102151,4,5,6,1,24.5,,,,,,,,,,,,,,,,,,,,,4,1,1,3,3,1,1,3,5.5,49,2,3,4,4,1,2,1,3,3,3,3.8,2,4,7,7,7,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-01-01,2018-04-01,,3,3,0,0,4,4,4,3,2,1,1,3,3,1,1,3,5.5,49,1,2,1,3,3,3,3,1,2,3,3,2,3,3,3,2,2,1,0,0,1,5.5,49,제공하지않는다,가입하지않음,그렇지않다,40시간초과
102153,4,5,13,1,26.83333333,2,-1,1,1,3,1,1,1,3,5,40,5,5,4,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,2,3.5,2,4,6,6,6,1,1,2019,0,2016-03-01,2018-02-28,2019-09-01,2016-10-01,,,35,,35,1,1,4,4,-1,5,5,1,1,3,1,1,1,3,5,40,1,2,1,1,1,2.093023256,3,1,2,3,3,2,3,3,3,,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102165,4,2,9,1,24.66666667,,,,,,,,,,,,,,,,,,,,,-1,2,2,2,2,2,2,2,1,8,3,3,2,3,2,2,2,2,2,3,3.9,2,3,4,4,4,1,2,2019,1,2013-03-01,2018-02-28,2019-09-01,,2018-07-01,2019-02-01,,7,7,0,0,2,3,-1,3,3,2,2,2,2,2,2,2,1,8,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,,2,2,0,0,0,1,8,제공하지않는다,가입하지않음,보통이다,40시간이하
102211,4,4,14,1,23.75,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,5,40,3,3,1,3,3,3,3,3,3,3,3.5,2,4,4,4,4,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-09-01,2019-03-01,,6,6,0,0,1,3,1,3,3,2,2,2,2,2,2,2,5,40,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,2,2,0,0,0,5,40,제공하지않는다,가입하지않음,보통이다,40시간이하
102217,4,5,13,1,28.41666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,3,1,1,3,3,5,40,3,3,1,2,1,3,3,1,1,3,3.9,2,5,6,6,6,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-05-01,2018-06-01,,1,1,0,0,1,2,-1,3,3,1,1,3,1,1,3,3,5,40,1,3,3,1,1,3,3,1,2,1,1,2,3,3,3,,2,2,0,0,0,5,40,제공하지않는다,가입하지않음,보통이다,40시간이하
102288,4,4,14,1,25.58333333,2,3,1,1,1,1,1,3,1,5,40,4,4,3,3,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,3,4,2,4,6,6,6,1,1,2019,0,2012-03-01,2018-02-28,2019-09-01,2017-03-01,,,30,,30,1,1,3,3,3,4,4,1,1,1,1,1,3,1,5,40,1,3,1,1,1,3,3,1,2,2,2,2,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102289,4,4,14,1,24.16666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,3,1,1,1,3,6,48,4,4,4,4,1,2,1,1,1,3,3.3,2,5,6,7,6,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2017-08-01,2019-05-01,,21,21,1,0,4,4,-1,4,4,1,1,3,1,1,1,3,6,48,1,2,1,1,1,3,3,1,2,3,3,2,3,3,3,,3,3,0,1,1,6,48,제공하지않는다,가입했다,그렇다,40시간초과
102311,4,5,6,1,25.16666667,2,5,1,1,1,1,1,1,1,5,50,4,2,4,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,2.8,2,4,4,6,4,1,1,2019,0,2013-03-01,2018-02-28,2019-09-01,2016-09-01,,,36,,36,1,1,4,3,5,2,4,1,1,1,1,1,1,1,5,50,1,2,1,1,1,3,3,1,2,3,2,2,2,3,2,2,1,3,1,1,1,5,50,제공한다,가입했다,그렇다,40시간초과
102327,4,1,1,1,24,,,,,,,,,,,,,,,,,,,,,9,3,3,3,3,3,3,3,3,24,4,4,1,3,3,3,2,3,1,3,4,2,4,6,6,5,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2018-02-01,2018-03-01,,1,1,0,0,1,3,9,4,4,3,3,3,3,3,3,3,3,24,3,3,2,3,1,3,3,1,1,1,2,2,3,3,3,1,3,3,0,0,0,3,24,제공하지않는다,가입하지않음,그렇다,40시간이하
102362,4,2,8,1,23.91666667,1,9,1,1,2,1,1,1,2,5,40,5,5,1,1,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,3,3.6,1,1,7,7,7,1,1,2019,0,2014-03-01,2018-02-28,2019-09-01,2017-07-01,,,26,,26,1,1,1,1,9,5,5,1,1,2,1,1,1,2,5,40,1,3,1,3,3,3,1,1,1,1,1,2,3,3,3,1,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
102471,4,3,4,1,24.66666667,2,6,1,1,1,1,1,3,1,5,40,4,4,4,4,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,2,3.7,1,4,5,5,5,1,1,2019,0,2013-03-01,2018-02-28,2019-09-01,2017-09-01,,,24,,24,1,1,4,4,6,4,4,1,1,1,1,1,3,1,5,40,1,3,1,1,1,2.093023256,3,1,2,3,3,2,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102478,4,3,10,1,24.08333333,2,2,1,1,1,1,1,3,1,5,40,5,4,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,1,3.6,2,4,6,7,7,1,1,2019,0,2014-03-01,2018-02-28,2019-09-01,2017-03-01,,,30,,30,1,1,1,1,2,4,5,1,1,1,1,1,3,1,5,40,1,3,1,1,1,1.125,3,1,2,1,1,2,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
102498,4,4,3,1,23.91666667,,,,,,,,,,,,,,,,,,,,,6,1,3,3,1,2,3,3,5,40,3,2,2,1,1,3,1,1,1,1,3,2,4,6,6,6,1,2,2019,1,2014-03-01,2018-02-28,2019-09-01,,2017-09-01,2019-06-01,,21,21,1,0,2,1,6,2,3,1,3,3,1,2,3,3,5,40,1,3,1,1,1,1.125,3,1,2,1,1,2,3,3,3,2,1,2,0,1,0,5,40,제공하지않는다,가입했다,보통이다,40시간이하
102521,4,2,8,1,26.33333333,,,,,,,,,,,,,,,,,,,,,2,3,3,3,1,3,3,3,2,12,4,4,2,3,3,3,3,1,3,3,2.4,1,4,7,6,6,1,2,2019,1,2012-03-01,2018-02-28,2019-09-01,,2018-12-01,2019-06-01,,6,6,0,0,2,3,2,4,4,3,3,3,1,3,3,3,2,12,3,3,3,1,3,3,3,1,1,1,2,2,3,3,3,2,3,3,0,0,0,2,12,제공하지않는다,가입하지않음,그렇다,40시간이하
102532,4,2,8,1,25.33333333,2,9,1,1,1,1,1,1,3,4,44,4,5,4,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.8,1,4,6,7,5,1,1,2019,0,2013-03-01,2018-02-28,2019-09-01,2017-08-01,,,25,,25,1,1,4,4,9,5,4,1,1,1,1,1,1,3,4,44,1,2,1,1,1,3,3,1,1,3,3,2,3,3,3,1,3,3,0,1,1,4,44,제공하지않는다,가입했다,그렇다,40시간초과
102649,4,1,1,2,22,,,,,,,,,,,,,,,,,,,,,9,1,1,1,2,1,3,1,5,35,4,4,1,1,1,3,1,1,1,3,3.3,1,5,7,7,7,1,2,2019,1,2016-03-01,2018-02-28,2019-09-01,,2018-08-01,2019-08-01,,12,12,1,0,1,1,9,4,4,1,1,1,2,1,3,1,5,35,1,3,1,1,1,3,3,1,1,1,1,2,3,3,3,1,3,3,0,1,0,5,35,제공하지않는다,가입했다,그렇다,40시간이하
102653,4,2,8,2,23.66666667,,,,,,,,,,,,,,,,,,,,,1,2,2,3,1,2,2,3,3,18,5,4,2,2,2,2,2,2,2,3,3.4,1,4,6,5,6,1,2,2019,1,2017-03-01,2018-02-28,2019-09-01,,2018-10-01,2019-07-01,,9,9,0,0,2,2,1,4,5,2,2,3,1,2,2,3,3,18,2,2,2,2,2,3,3,1,1,1,1,2,3,3,3,2,3,3,0,0,0,3,18,제공하지않는다,가입하지않음,그렇다,40시간이하
